course_id,course_code,course_name,degree,year,semester,credits,subject_area,course_type
65,CS3212,Independent Research Study,Computer Science,3,2,2,Other,Core
66,CS3213,Operational Research,Computer Science,3,2,3,Statistics,Core
67,CS3214,Statistical Tools for Computing,Computer Science,3,2,1,Statistics,Core
68,CS3215,Microcontrollers and Embedded Systems,Computer Science,3,2,2,Systems & Operating Systems,Elective
69,CS3216,Geoinformatics,Computer Science,3,2,2,Other,Elective
70,CS4101,Emerging Trends in Computing,Computer Science,4,1,2,Other,Core
71,CS4102,Theory of Programming Languages,Computer Science,4,1,2,Algorithms & Data Structures,Core
72,CS4103,Artificial Cognitive Systems,Computer Science,4,1,2,Artificial Intelligence,Elective
73,CS4104,Computability and Complexity,Computer Science,4,1,2,Algorithms & Data Structures,Elective
74,CS4105,Semantic Web and Ontology,Computer Science,4,1,2,Database,Elective
75,CS4106,Computer Music,Computer Science,4,1,2,Other,Elective
76,CS4107,High Performance Computing,Computer Science,4,1,2,Cloud Computing,Core
77,CS4108,Social Aspects and Professional Practices,Computer Science,4,1,2,Other,Core
78,CS4109,Digital Forensics,Computer Science,4,1,2,Cyber Security,Elective
79,CS4110,Cyber Security,Computer Science,4,1,2,Cyber Security,Elective
80,CS4111,Deep Learning,Computer Science,4,1,2,Artificial Intelligence,Elective
81,CS4112,Location Based Services,Computer Science,4,1,2,Other,Elective
82,CS4113,Interactive Media and Game Development,Computer Science,4,1,2,Other,Elective
83,CS4114,Individual Research Project,Computer Science,4,1,2,Other,Core
84,CS4115,Formal Methods and Software Verification,Computer Science,4,1,2,Software Engineering,Elective
85,CS4116,Software Quality Assurance,Computer Science,4,1,2,Software Engineering,Core
86,CS4117,Advanced Operating Systems,Computer Science,4,1,2,Systems & Operating Systems,Elective
87,CS4118,Robotics and Automation,Computer Science,4,1,2,Artificial Intelligence,Elective
88,CS4119,Entrepreneurship and Business Management,Computer Science,4,1,2,Other,NGPA
89,CS4201,Individual Research Project,Computer Science,4,2,7,Other,Core
90,CS4202,Industrial Training,Computer Science,4,2,6,Other,NGPA
91,SE1101,Fundamentals of Programming,Software Engineering,1,1,2,Programming,Core
92,SE1102,Programming Laboratory,Software Engineering,1,1,1,Programming,Core
93,SE1103,Foundation of Computer Science,Software Engineering,1,1,2,Other,Core
94,SE1104,Computer Systems Architecture,Software Engineering,1,1,2,Systems & Operating Systems,Core
95,SE1105,Fundamentals of Databases,Software Engineering,1,1,3,Database,Core
96,SE1106,Fundamentals of Visual Computing,Software Engineering,1,1,2,Other,Core
97,SE1107,Probability and Statistics,Software Engineering,1,1,3,Statistics,Core
98,SE1108,Engineering Mathematics,Software Engineering,1,1,2,Mathematics,Core
99,SE1109,English: Basic Study Skills for CS/SE/CE,Software Engineering,1,1,2,Other,NGPA
100,SE1110,Leadership Training,Software Engineering,1,1,2,Other,NGPA
101,SE1201,Developments in Mathematics and Sciences,Software Engineering,1,2,2,Mathematics,Core
102,SE1202,Object Oriented Programming I,Software Engineering,1,2,3,Programming,Core
103,SE1203,Web Development,Software Engineering,1,2,2,Other,Core
104,SE1204,Computer Networks I,Software Engineering,1,2,2,Networking,Core
105,SE1205,Discrete Mathematics,Software Engineering,1,2,2,Mathematics,Core
106,SE1206,Group Project in Hardware,Software Engineering,1,2,3,Systems & Operating Systems,Core
107,SE1207,Fundamentals of Electrical Engineering,Software Engineering,1,2,2,Systems & Operating Systems,Core
108,SE1208,Basic Electronics,Software Engineering,1,2,2,Systems & Operating Systems,Core
109,SE1209,English: Advanced Study Skills for CS/SE/CE,Software Engineering,1,2,2,Other,NGPA
110,SE2101,Data Structures and Algorithms I,Software Engineering,2,1,3,Algorithms & Data Structures,Core
111,SE2102,Operating Systems,Software Engineering,2,1,2,Systems & Operating Systems,Core
112,SE2103,Object Oriented Programming II,Software Engineering,2,1,2,Programming,Core
113,SE2104,Computer Networks II,Software Engineering,2,1,2,Networking,Core
114,SE2105,Requirements Engineering,Software Engineering,2,1,2,Software Engineering,Core
115,SE2106,Electronics Systems,Software Engineering,2,1,2,Systems & Operating Systems,Core
116,SE2107,Calculus and Numerical Methods,Software Engineering,2,1,3,Mathematics,Core
117,SE2108,Principles of Management,Software Engineering,2,1,3,Other,NGPA
118,SE2109,Writing and Speaking Skills,Software Engineering,2,1,0,Other,NGPA
119,SE2201,Data Structures and Algorithms II,Software Engineering,2,2,2,Algorithms & Data Structures,Core
120,SE2202,Advanced Computer Architecture and Organization,Software Engineering,2,2,2,Systems & Operating Systems,Core
121,SE2203,Artificial Intelligence,Software Engineering,2,2,2,Artificial Intelligence,Core
122,SE2204,Software Project Management,Software Engineering,2,2,3,Software Engineering,Core
123,SE2205,Software Process Engineering,Software Engineering,2,2,2,Software Engineering,Core
124,SE2206,Statistical Distributions and Inference,Software Engineering,2,2,2,Statistics,Core
125,SE2207,Computer Interfacing and Microprocessors,Software Engineering,2,2,2,Systems & Operating Systems,Core
126,SE2208,Group Project in Software Development,Software Engineering,2,2,3,Software Engineering,Core
127,SE2209,Research Writing Skills,Software Engineering,2,2,0,Other,NGPA
128,SE3101,Engineering Foundation for Software,Software Engineering,3,1,2,Software Engineering,Core
129,SE3102,Software Modeling,Software Engineering,3,1,2,Software Engineering,Core
130,SE3103,Software Construction Technologies and Tools,Software Engineering,3,1,2,Software Engineering,Core
131,SE3104,Software Design and Architecture,Software Engineering,3,1,2,Software Engineering,Core
132,SE3105,Human Computer Interaction,Software Engineering,3,1,2,Software Engineering,Core
133,SE3106,Essentials of Computer Law,Software Engineering,3,1,2,Other,Core
134,SE3107,Advanced Database and Big Data Analytics,Software Engineering,3,1,3,Database,Core
135,SE3108,Computer & Network Security,Software Engineering,3,1,2,Cyber Security,Elective
136,SE3109,Image Processing & Computer Vision,Software Engineering,3,1,2,Artificial Intelligence,Elective
137,SE3110,Research Methodology,Software Engineering,3,1,2,Other,Core
138,SE3111,Logic Programming,Software Engineering,3,1,2,Artificial Intelligence,Elective
139,SE3112,Mobile Computing,Software Engineering,3,1,2,Other,Elective
140,SE3201,Engineering Economics for Software,Software Engineering,3,2,2,Other,Core
141,SE3202,Software Verification and Validation,Software Engineering,3,2,2,Software Engineering,Core
142,SE3203,Software Process,Software Engineering,3,2,2,Software Engineering,Core
143,SE3204,Social Aspects of Computing,Software Engineering,3,2,2,Other,Core
144,SE3205,Independent Study,Software Engineering,3,2,2,Other,Core
145,SE3206,Digital Forensic,Software Engineering,3,2,2,Cyber Security,Elective
146,SE3207,Computer Graphics & Visualization,Software Engineering,3,2,2,Other,Elective
147,SE3208,Automata Theory,Software Engineering,3,2,2,Algorithms & Data Structures,Elective
148,SE3209,Information Security,Software Engineering,3,2,2,Cyber Security,Elective
149,SE3210,High Performance Computing,Software Engineering,3,2,2,Cloud Computing,Elective
150,SE3211,Complex Systems and Agent Technology,Software Engineering,3,2,2,Artificial Intelligence,Elective
151,SE4101,Formal Methods and Software Verification,Software Engineering,4,1,2,Software Engineering,Core
152,SE4102,Software Evolution,Software Engineering,4,1,2,Software Engineering,Core
153,SE4103,Software Quality,Software Engineering,4,1,2,Software Engineering,Core
154,SE4104,Emerging Trends in Computing,Software Engineering,4,1,2,Other,Elective
155,SE4105,Theory of Programming Languages,Software Engineering,4,1,2,Algorithms & Data Structures,Elective
156,SE4106,Natural Language Processing,Software Engineering,4,1,2,Artificial Intelligence,Elective
157,SE4107,Artificial Cognitive Systems,Software Engineering,4,1,2,Artificial Intelligence,Elective
158,SE4108,Compilers Design,Software Engineering,4,1,2,Algorithms & Data Structures,Elective
159,SE4109,Semantic Web and Ontology,Software Engineering,4,1,2,Database,Elective
160,SE4110,Distributed Systems,Software Engineering,4,1,2,Cloud Computing,Elective
161,SE4111,Advanced Topics in Statistics,Software Engineering,4,1,2,Statistics,Elective
162,SE4112,Individual Research Project,Software Engineering,4,1,4,Other,Core
163,SE4201,Individual Research Project,Software Engineering,4,2,9,Other,Core
164,SE4202,Industrial Training,Software Engineering,4,2,6,Other,NGPA
165,DS1101,Fundamentals of Data Science,Data Science & Business Analytics,1,1,1,Data Analysis,Core
166,DS1102,Probability and Statistics,Data Science & Business Analytics,1,1,3,Statistics,Core
167,DS1103,Calculus I,Data Science & Business Analytics,1,1,2,Mathematics,Core
168,DS1104,Fundamentals of Programming,Data Science & Business Analytics,1,1,2,Programming,Core
169,DS1105,Programming Laboratory,Data Science & Business Analytics,1,1,1,Programming,Core
170,DS1106,Fundamentals of Databases,Data Science & Business Analytics,1,1,2,Database,Core
171,DS1107,Principles of Management,Data Science & Business Analytics,1,1,2,Other,Core
172,DS1108,Introduction to Communication Skills,Data Science & Business Analytics,1,1,3,Other,NGPA
173,DS1201,Discrete Mathematics for Data Science,Data Science & Business Analytics,1,2,3,Mathematics,Core
174,DS1202,Linear Algebra I,Data Science & Business Analytics,1,2,2,Mathematics,Core
175,DS1203,Statistical Inference,Data Science & Business Analytics,1,2,3,Statistics,Core
176,DS1204,Object Oriented Programming,Data Science & Business Analytics,1,2,2,Programming,Core
177,DS1205,Applied Statistical Computing,Data Science & Business Analytics,1,2,2,Statistics,Core
178,DS1206,Business Economics,Data Science & Business Analytics,1,2,2,Other,Core
179,DS1207,Fundamentals of Business Communication,Data Science & Business Analytics,1,2,3,Other,Core
180,DS2101,Calculus II,Data Science & Business Analytics,2,1,2,Mathematics,Core
181,DS2102,Linear Algebra II,Data Science & Business Analytics,2,1,2,Mathematics,Core
182,DS2103,Regression Analysis,Data Science & Business Analytics,2,1,3,Statistics,Core
183,DS2104,Data Structures and Algorithms,Data Science & Business Analytics,2,1,3,Algorithms & Data Structures,Core
184,DS2105,Programming for Data Science,Data Science & Business Analytics,2,1,2,Programming,Core
185,DS2106,Accounting and Finance,Data Science & Business Analytics,2,1,3,Other,Core
186,DS2107,Advanced Communication Skills,Data Science & Business Analytics,2,1,3,Other,NGPA
187,DS2201,Categorical Data Analysis,Data Science & Business Analytics,2,2,2,Data Analysis,Core
188,DS2202,Essentials of Artificial Intelligence,Data Science & Business Analytics,2,2,2,Artificial Intelligence,Core
189,DS2203,Data Mining and Data Warehousing,Data Science & Business Analytics,2,2,3,Data Analysis,Core
190,DS2204,Software Engineering,Data Science & Business Analytics,2,2,3,Software Engineering,Core
191,DS2205,Cost & Management Accounting,Data Science & Business Analytics,2,2,2,Other,Core
192,DS2206,Business Intelligence and Analytics,Data Science & Business Analytics,2,2,2,Data Analysis,Core
193,DS2207,Conversation Analysis,Data Science & Business Analytics,2,2,3,Other,NGPA
194,DS3101,Advanced Database Management Systems,Data Science & Business Analytics,3,1,2,Database,Core
195,DS3102,Machine Learning,Data Science & Business Analytics,3,1,3,Artificial Intelligence,Core
196,DS3103,Multivariate Data Analysis,Data Science & Business Analytics,3,1,2,Data Analysis,Core
197,DS3104,Computer Networks,Data Science & Business Analytics,3,1,2,Networking,Core
198,DS3105,Research Methodology,Data Science & Business Analytics,3,1,3,Other,Core
199,DS3106,Bayesian Data Analysis,Data Science & Business Analytics,3,1,2,Statistics,Core
200,DS3107,Professional Practices and IT Law,Data Science & Business Analytics,3,1,2,Other,Core
201,DS3108,Operations Research,Data Science & Business Analytics,3,1,3,Statistics,Core
202,DS3109,Group Project in Applied Data Analytics,Data Science & Business Analytics,3,1,0,Data Analysis,Core
203,DS3201,Big Data Analytics,Data Science & Business Analytics,3,2,3,Data Analysis,Core
204,DS3202,Time Series Analysis,Data Science & Business Analytics,3,2,3,Statistics,Core
205,DS3203,Group Project in Applied Data Analytics,Data Science & Business Analytics,3,2,3,Data Analysis,Core
206,DS3204,Operation Management,Data Science & Business Analytics,3,2,2,Other,Core
207,DS3205,Cloud Computing,Data Science & Business Analytics,3,2,2,Cloud Computing,Core
208,DS3206,Cyber Security,Data Science & Business Analytics,3,2,2,Cyber Security,Core
209,DS3207,Deep Learning,Data Science & Business Analytics,3,2,3,Artificial Intelligence,Core
210,DS3208,Discourse Communication,Data Science & Business Analytics,3,2,3,Other,Core
211,DS4101,Image Processing and Computer Vision,Data Science & Business Analytics,4,1,2,Artificial Intelligence,Core
212,DS4102,Data Management and Governance,Data Science & Business Analytics,4,1,2,Database,Core
213,DS4103,Project Management for Data Science,Data Science & Business Analytics,4,1,2,Other,Core
214,DS4104,Natural Language Processing,Data Science & Business Analytics,4,1,2,Artificial Intelligence,Core
215,DS4105,Semantic Web and Ontology,Data Science & Business Analytics,4,1,2,Database,Elective
216,DS4106,Spatial Data Analysis,Data Science & Business Analytics,4,1,2,Data Analysis,Elective
217,DS4107,Emerging Trends in Data Science,Data Science & Business Analytics,4,1,2,Data Analysis,Elective
218,DS4108,Parallel Computing,Data Science & Business Analytics,4,1,2,Cloud Computing,Elective
219,DS4109,Information Security,Data Science & Business Analytics,4,1,2,Cyber Security,Elective
220,DS4110,Strategic Business Analysis,Data Science & Business Analytics,4,1,2,Data Analysis,Core
221,DS4111,Individual Research Project,Data Science & Business Analytics,4,1,0,Other,Core
222,DS4201,Individual Research Project,Data Science & Business Analytics,4,2,9,Other,Core
223,DS4202,Industrial Training,Data Science & Business Analytics,4,2,6,Other,NGPA
224,IT1101,Information Technology Concepts,Information Technology,1,1,2,Other,Core
225,IT1102,Fundamentals of Computer Programming,Information Technology,1,1,2,Programming,Core
226,IT1103,Computer Programming Laboratory,Information Technology,1,1,1,Programming,Core
227,IT1104,Fundamentals of Computer Systems,Information Technology,1,1,2,Systems & Operating Systems,Core
228,IT1105,Fundamentals of Multimedia Technologies,Information Technology,1,1,2,Other,Core
229,IT1106,Mathematics for IT I,Information Technology,1,1,3,Mathematics,Core
230,IT1107,Principles of Management,Information Technology,1,1,2,Other,Core
231,IT1108,English Study Skills for ICT,Information Technology,1,1,2,Other,NGPA
232,IT1109,Leadership Training,Information Technology,1,1,2,Other,NGPA
233,IT1201,Object Oriented Designing,Information Technology,1,2,2,Software Engineering,Core
234,IT1202,Object Oriented Programming,Information Technology,1,2,3,Programming,Core
235,IT1203,Fundamentals of Database Management Systems,Information Technology,1,2,3,Database,Core
236,IT1204,Computer Systems Architecture,Information Technology,1,2,2,Systems & Operating Systems,Core
237,IT1205,Internet of Things Applications and Design,Information Technology,1,2,2,Systems & Operating Systems,Core
238,IT1206,Computer Network Systems I,Information Technology,1,2,2,Networking,Core
239,IT1207,Web Technologies,Information Technology,1,2,2,Other,Core
240,IT1208,Basic Probability and Statistics,Information Technology,1,2,2,Statistics,Core
241,IT1209,Presentation Skills for ICT,Information Technology,1,2,2,Other,NGPA
242,IT2101,Rapid Application Development,Information Technology,2,1,3,Programming,Core
243,IT2102,System Analysis and Design,Information Technology,2,1,2,Software Engineering,Core
244,IT2103,UX and UI Engineering,Information Technology,2,1,3,Software Engineering,Core
245,IT2104,Advanced Database Management Systems,Information Technology,2,1,3,Database,Core
246,IT2105,Computer Network Systems II,Information Technology,2,1,2,Networking,Core
247,IT2106,Industry based Software Engineering Project,Information Technology,2,1,0,Software Engineering,Core
248,IT2107,Mathematics for IT II,Information Technology,2,1,2,Mathematics,Core
249,IT2108,Human Resource Management,Information Technology,2,1,2,Other,Core
250,IT2109,Writing and Speaking Skills,Information Technology,2,1,2,Other,NGPA
251,IT2201,Data Structures and Algorithms,Information Technology,2,2,3,Algorithms & Data Structures,Core
252,IT2202,Software Engineering,Information Technology,2,2,2,Software Engineering,Core
253,IT2203,Operating Systems,Information Technology,2,2,2,Systems & Operating Systems,Core
254,IT2204,Project Management,Information Technology,2,2,2,Other,Core
255,IT2205,Research Methodology,Information Technology,2,2,2,Other,Core
256,IT2206,Industry based Software Engineering Project,Information Technology,2,2,2,Software Engineering,Core
257,IT2207,Statistical Distributions and Inference,Information Technology,2,2,2,Statistics,Core
258,IT2208,Research Writing Skills,Information Technology,2,2,2,Other,NGPA
259,IT3101,Advanced Web Technologies,Information Technology,3,1,3,Other,Core
260,IT3102,Enterprise Application Development,Information Technology,3,1,3,Software Engineering,Core
261,IT3103,Advanced Multimedia Technologies,Information Technology,3,1,2,Other,Core
262,IT3104,Mobile Computing,Information Technology,3,1,2,Other,Core
263,IT3105,Advanced Computer Network Systems I,Information Technology,3,1,2,Networking,Core
264,IT3106,Information and Data Security,Information Technology,3,1,2,Cyber Security,Core
265,IT3107,Computer Ethics and IT Law,Information Technology,3,1,2,Other,Core
266,IT3108,Career Development Planning,Information Technology,3,1,1,Other,NGPA
267,IT3109,Essentials of Artificial Intelligence,Information Technology,3,1,3,Artificial Intelligence,Core
268,IT3201,Distributed Systems,Information Technology,3,2,2,Cloud Computing,Core
269,IT3202,Software Quality Assurance,Information Technology,3,2,2,Software Engineering,Core
270,IT3203,Cyber Security,Information Technology,3,2,3,Cyber Security,Core
271,IT3204,Cloud Computing and Virtualization,Information Technology,3,2,3,Cloud Computing,Core
272,IT3205,Enterprise Resource Planning Systems,Information Technology,3,2,2,Other,NGPA
273,IT3206,Independent Research Study,Information Technology,3,2,2,Other,Core
274,IT3207,Machine Learning,Information Technology,3,2,3,Artificial Intelligence,Core
275,IT3208,Geoinformatics,Information Technology,3,2,2,Other,Elective
276,IT3209,Location Based Services,Information Technology,3,2,2,Other,Elective
277,IT3210,Entrepreneurship and Innovation,Information Technology,3,2,2,Other,Elective
278,IT4101,Data Mining and Data Warehousing,Information Technology,4,1,3,Data Analysis,Core
279,IT4102,Data Analytics,Information Technology,4,1,2,Data Analysis,Core
280,IT4103,Advanced Computer Network Systems II,Information Technology,4,1,2,Networking,Core
281,IT4104,Database Administration,Information Technology,4,1,3,Database,Core
282,IT4105,Deployment Engineering,Information Technology,4,1,1,Cloud Computing,Core
283,IT4106,Semantic Web and Ontology,Information Technology,4,1,2,Database,Elective
284,IT4107,Digital Image Processing,Information Technology,4,1,2,Artificial Intelligence,Elective
285,IT4108,Emerging Technologies in ICT,Information Technology,4,1,2,Other,Elective
286,IT4109,Interactive Media and Game Development,Information Technology,4,1,2,Other,Elective
287,IT4110,Blockchain Technologies,Information Technology,4,1,2,Cyber Security,Elective
288,IT4111,Social Aspects and Professional Practices,Information Technology,4,1,2,Other,Elective
289,IT4112,Natural Language Processing,Information Technology,4,1,2,Artificial Intelligence,Elective
290,IT4113,Individual Research Project,Information Technology,4,1,2,Other,Core
291,IT4201,Individual Research Project,Information Technology,4,2,7,Other,Core
292,IT4202,Industrial Training,Information Technology,4,2,6,Other,NGPA
293,IS1101,Information Technology Concepts,Information Systems,1,1,2,Other,Core
294,IS1102,Fundamentals of Computer Programming,Information Systems,1,1,2,Programming,Core
295,IS1103,Computer Programming Laboratory,Information Systems,1,1,1,Programming,Core
296,IS1104,Fundamentals of Computer Systems,Information Systems,1,1,2,Systems & Operating Systems,Core
297,IS1105,Fundamentals of Multimedia Technologies,Information Systems,1,1,2,Other,Core
298,IS1106,Mathematics for IT I,Information Systems,1,1,3,Mathematics,Core
299,IS1107,Principles of Management,Information Systems,1,1,2,Other,Core
300,IS1108,English Study Skills for ICT,Information Systems,1,1,2,Other,NGPA
301,IS1109,Leadership Training,Information Systems,1,1,2,Other,NGPA
302,IS1201,Object Oriented Designing,Information Systems,1,2,2,Software Engineering,Core
303,IS1202,Object Oriented Programming,Information Systems,1,2,3,Programming,Core
304,IS1203,Fundamentals of Database Management Systems,Information Systems,1,2,3,Database,Core
305,IS1204,Computer Systems Architecture,Information Systems,1,2,2,Systems & Operating Systems,Core
306,IS1205,Internet of Things Applications and Design,Information Systems,1,2,2,Systems & Operating Systems,Core
307,IS1206,Computer Network Systems I,Information Systems,1,2,2,Networking,Core
308,IS1207,Web Technologies,Information Systems,1,2,2,Other,Core
309,IS1208,Basic Probability and Statistics,Information Systems,1,2,2,Statistics,Core
310,IS1209,Presentation Skills for ICT,Information Systems,1,2,2,Other,NGPA
311,IS2101,Rapid Application Development,Information Systems,2,1,3,Programming,Core
312,IS2102,System Analysis and Design,Information Systems,2,1,2,Software Engineering,Core
313,IS2103,UX and UI Engineering,Information Systems,2,1,3,Software Engineering,Core
314,IS2104,Advanced Database Management Systems,Information Systems,2,1,3,Database,Core
315,IS2105,Computer Network Systems II,Information Systems,2,1,2,Networking,Core
316,IS2106,Industry based Software Engineering Project,Information Systems,2,1,0,Software Engineering,Core
317,IS2107,Mathematics for IT II,Information Systems,2,1,2,Mathematics,Core
318,IS2108,Human Resource Management,Information Systems,2,1,2,Other,Core
319,IS2109,Writing and Speaking Skills,Information Systems,2,1,2,Other,NGPA
320,IS2201,Data Structures and Algorithms,Information Systems,2,2,3,Algorithms & Data Structures,Core
321,IS2202,Software Engineering,Information Systems,2,2,2,Software Engineering,Core
322,IS2203,Operating Systems,Information Systems,2,2,2,Systems & Operating Systems,Core
323,IS2204,Project Management,Information Systems,2,2,2,Other,Core
324,IS2205,Research Methodology,Information Systems,2,2,2,Other,Core
325,IS2206,Industry based Software Engineering Project,Information Systems,2,2,2,Software Engineering,Core
326,IS2207,Statistical Distributions and Inference,Information Systems,2,2,2,Statistics,Core
327,IS2208,Research Writing Skills,Information Systems,2,2,2,Other,NGPA
328,IS3101,Advanced Web Technologies,Information Systems,3,1,3,Other,Core
329,IS3102,Management Information Systems,Information Systems,3,1,3,Database,Core
330,IS3103,Accounting and Financial Management,Information Systems,3,1,3,Other,Core
331,IS3104,Principles of Economics,Information Systems,3,1,2,Other,Core
332,IS3105,Information and Data Security,Information Systems,3,1,2,Cyber Security,Core
333,IS3106,Computer Ethics and IT Law,Information Systems,3,1,2,Other,Core
334,IS3107,Mobile Computing,Information Systems,3,1,2,Other,Core
335,IS3108,Essentials of Artificial Intelligence,Information Systems,3,1,3,Artificial Intelligence,Core
336,IS3109,Career Development Planning,Information Systems,3,1,1,Other,NGPA
337,IS3201,E-commerce and Digital Marketing,Information Systems,3,2,3,Other,Core
338,IS3202,Organizational Behaviour,Information Systems,3,2,2,Other,Core
339,IS3203,Knowledge Management,Information Systems,3,2,2,Database,Core
340,IS3204,Operational Research,Information Systems,3,2,3,Statistics,Core
341,IS3205,Software Quality Assurance,Information Systems,3,2,2,Software Engineering,Core
342,IS3206,Enterprise Resource Planning Systems,Information Systems,3,2,2,Database,Core
343,IS3207,Independent Research Study,Information Systems,3,2,2,Other,Core
344,IS3208,Geoinformatics,Information Systems,3,2,2,Other,Elective
345,IS3209,Location Based Services,Information Systems,3,2,2,Other,Elective
346,IS3210,Entrepreneurship and Innovation,Information Systems,3,2,2,Other,Elective
347,IS4101,Enterprise Architecture,Information Systems,4,1,2,Software Engineering,Core
348,IS4102,Data Analytics,Information Systems,4,1,2,Data Analysis,Core
349,IS4103,Information Systems Auditing and Control,Information Systems,4,1,3,Cyber Security,Core
350,IS4104,Business Process Reengineering,Information Systems,4,1,2,Software Engineering,Core
351,IS4105,Operations and Supply Chain Management,Information Systems,4,1,2,Other,Core
352,IS4106,Strategic IT Management,Information Systems,4,1,2,Other,Core
