student_id,course_id,course_code,course_name,degree,year,semester,credits,subject_area,mark,grade,grade_point,status,archetype
4,45,SE2103,Systems Programming,Software Engineering,2,1,3,Systems & Operating Systems,51.4,C-,1.7,completed,struggling
4,46,SE2104,Software Requirements Engineering,Software Engineering,2,1,3,Software Engineering,46.3,D,1.0,completed,struggling
5,51,CS1101,Intro to Computer Science,Computer Science,1,1,4,Programming,77.8,B+,3.3,completed,cyber_security
5,53,CS1103,Computer Organization,Computer Science,1,1,3,Systems & Operating Systems,100.0,A+,4.0,completed,cyber_security
5,54,CS1104,Academic Skills for CS,Computer Science,1,1,3,Other,78.3,B+,3.3,completed,cyber_security
5,55,CS1201,Programming Paradigms,Computer Science,1,2,4,Programming,81.4,A-,3.7,completed,cyber_security
5,56,CS1202,Calculus II,Computer Science,1,2,3,Mathematics,74.8,B+,3.3,completed,cyber_security
5,57,CS1203,Introduction to Databases,Computer Science,1,2,4,Database,74.7,B+,3.3,completed,cyber_security
5,58,CS1204,Networking Basics,Computer Science,1,2,3,Networking,98.0,A+,4.0,completed,cyber_security
5,59,CS2101,Data Structures,Computer Science,2,1,4,Algorithms & Data Structures,63.4,C+,2.3,completed,cyber_security
5,60,CS2102,Probability and Statistics,Computer Science,2,1,3,Statistics,56.5,C,2.0,completed,cyber_security
5,61,CS2103,Operating Systems Concepts,Computer Science,2,1,3,Systems & Operating Systems,86.6,A,4.0,completed,cyber_security
5,62,CS2104,Software Engineering I,Computer Science,2,1,3,Software Engineering,87.0,A,4.0,completed,cyber_security
5,63,CS2201,Algorithm Design,Computer Science,2,2,4,Algorithms & Data Structures,44.0,D,1.0,completed,cyber_security
5,64,CS2202,Advanced Databases,Computer Science,2,2,4,Database,58.0,C,2.0,completed,cyber_security
5,65,CS2203,Data Communications,Computer Science,2,2,3,Networking,100.0,A+,4.0,completed,cyber_security
5,66,CS2204,Statistical Computing,Computer Science,2,2,3,Statistics,62.3,C+,2.3,completed,cyber_security
6,51,CS1101,Intro to Computer Science,Computer Science,1,1,4,Programming,85.3,A,4.0,completed,software_engineering
6,52,CS1102,Calculus I,Computer Science,1,1,3,Mathematics,63.2,C+,2.3,completed,software_engineering
6,53,CS1103,Computer Organization,Computer Science,1,1,3,Systems & Operating Systems,74.3,B,3.0,completed,software_engineering
6,54,CS1104,Academic Skills for CS,Computer Science,1,1,3,Other,70.8,B,3.0,completed,software_engineering
6,55,CS1201,Programming Paradigms,Computer Science,1,2,4,Programming,84.1,A-,3.7,completed,software_engineering
6,56,CS1202,Calculus II,Computer Science,1,2,3,Mathematics,77.6,B+,3.3,completed,software_engineering
6,57,CS1203,Introduction to Databases,Computer Science,1,2,4,Database,85.1,A,4.0,completed,software_engineering
6,58,CS1204,Networking Basics,Computer Science,1,2,3,Networking,53.4,C-,1.7,completed,software_engineering
6,59,CS2101,Data Structures,Computer Science,2,1,4,Algorithms & Data Structures,75.1,B+,3.3,completed,software_engineering
6,60,CS2102,Probability and Statistics,Computer Science,2,1,3,Statistics,66.9,B-,2.7,completed,software_engineering
6,61,CS2103,Operating Systems Concepts,Computer Science,2,1,3,Systems & Operating Systems,51.2,C-,1.7,completed,software_engineering
6,62,CS2104,Software Engineering I,Computer Science,2,1,3,Software Engineering,96.2,A+,4.0,completed,software_engineering
6,63,CS2201,Algorithm Design,Computer Science,2,2,4,Algorithms & Data Structures,76.9,B+,3.3,completed,software_engineering
6,64,CS2202,Advanced Databases,Computer Science,2,2,4,Database,70.1,B,3.0,completed,software_engineering
6,65,CS2203,Data Communications,Computer Science,2,2,3,Networking,70.1,B,3.0,completed,software_engineering
6,66,CS2204,Statistical Computing,Computer Science,2,2,3,Statistics,69.0,B-,2.7,completed,software_engineering
6,67,CS3101,Artificial Intelligence Fundamentals,Computer Science,3,1,4,Artificial Intelligence,69.4,B-,2.7,completed,software_engineering
6,68,CS3102,Cyber Security Principles,Computer Science,3,1,3,Cyber Security,76.2,B+,3.3,completed,software_engineering
6,69,CS3103,Software Architecture,Computer Science,3,1,3,Software Engineering,91.9,A+,4.0,completed,software_engineering
6,70,CS3104,Exploratory Data Analysis,Computer Science,3,1,3,Data Analysis,41.9,D,1.0,completed,software_engineering
6,71,CS3105,Cloud Infrastructure,Computer Science,3,1,3,Cloud Computing,62.0,C+,2.3,completed,software_engineering
7,1,IT1101,Introduction to Programming,Information Technology,1,1,4,Programming,79.3,B+,3.3,completed,cyber_security
7,2,IT1102,Mathematics for Computing I,Information Technology,1,1,3,Mathematics,60.1,C+,2.3,completed,cyber_security
7,3,IT1103,Computer Systems Fundamentals,Information Technology,1,1,3,Systems & Operating Systems,78.3,B+,3.3,completed,cyber_security
7,4,IT1104,Introduction to IT,Information Technology,1,1,3,Other,65.8,B-,2.7,completed,cyber_security
7,5,IT1201,Object-Oriented Programming,Information Technology,1,2,4,Programming,62.1,C+,2.3,completed,cyber_security
7,6,IT1202,Mathematics for Computing II,Information Technology,1,2,3,Mathematics,63.3,C+,2.3,completed,cyber_security
7,7,IT1203,Database Fundamentals,Information Technology,1,2,4,Database,38.6,F,0.0,completed,cyber_security
7,8,IT1204,Introduction to Networking,Information Technology,1,2,3,Networking,97.9,A+,4.0,completed,cyber_security
7,9,IT2101,Data Structures and Algorithms,Information Technology,2,1,4,Algorithms & Data Structures,63.0,C+,2.3,completed,cyber_security
7,10,IT2102,Probability and Statistics,Information Technology,2,1,3,Statistics,68.9,B-,2.7,completed,cyber_security
7,11,IT2103,Operating Systems,Information Technology,2,1,3,Systems & Operating Systems,81.9,A-,3.7,completed,cyber_security
7,12,IT2104,Software Engineering Principles,Information Technology,2,1,3,Software Engineering,69.3,B-,2.7,completed,cyber_security
7,13,IT2201,Advanced Programming,Information Technology,2,2,4,Programming,76.7,B+,3.3,completed,cyber_security
7,14,IT2202,Database Management Systems,Information Technology,2,2,4,Database,77.7,B+,3.3,completed,cyber_security
7,15,IT2203,Computer Networks,Information Technology,2,2,3,Networking,89.5,A+,4.0,completed,cyber_security
7,16,IT2204,Statistical Methods,Information Technology,2,2,3,Statistics,41.6,D,1.0,completed,cyber_security
7,18,IT3101,Artificial Intelligence,Information Technology,3,1,4,Artificial Intelligence,49.2,D,1.0,completed,cyber_security
7,19,IT3102,Information Security,Information Technology,3,1,3,Cyber Security,75.1,B+,3.3,completed,cyber_security
7,20,IT3103,Software Design and Architecture,Information Technology,3,1,3,Software Engineering,51.8,C-,1.7,completed,cyber_security
7,21,IT3104,Data Analysis and Visualization,Information Technology,3,1,3,Data Analysis,52.2,C-,1.7,completed,cyber_security
7,22,IT3105,Cloud Computing Fundamentals,Information Technology,3,1,3,Cloud Computing,64.6,B-,2.7,completed,cyber_security
7,23,IT3201,Machine Learning,Information Technology,3,2,4,Artificial Intelligence,29.3,F,0.0,failed,cyber_security
7,25,IT3203,Advanced Database Systems,Information Technology,3,2,3,Database,63.3,C+,2.3,completed,cyber_security
7,26,IT3204,Data Mining,Information Technology,3,2,3,Data Analysis,68.0,B-,2.7,completed,cyber_security
7,27,IT3205,Software Testing and QA,Information Technology,3,2,3,Software Engineering,64.7,B-,2.7,completed,cyber_security
7,28,IT4101,Advanced AI Applications,Information Technology,4,1,4,Artificial Intelligence,53.3,C-,1.7,completed,cyber_security
7,29,IT4102,Ethical Hacking and Penetration Testing,Information Technology,4,1,3,Cyber Security,88.3,A,4.0,completed,cyber_security
7,30,IT4103,Distributed Systems,Information Technology,4,1,3,Cloud Computing,42.0,D,1.0,completed,cyber_security
7,31,IT4104,Big Data Analytics,Information Technology,4,1,3,Data Analysis,61.6,C+,2.3,completed,cyber_security
7,32,IT4105,Advanced Algorithms,Information Technology,4,1,3,Algorithms & Data Structures,61.1,C+,2.3,completed,cyber_security
8,51,CS1101,Intro to Computer Science,Computer Science,1,1,4,Programming,66.4,B-,2.7,completed,ai_ml
8,52,CS1102,Calculus I,Computer Science,1,1,3,Mathematics,63.8,C+,2.3,completed,ai_ml
8,53,CS1103,Computer Organization,Computer Science,1,1,3,Systems & Operating Systems,52.7,C-,1.7,completed,ai_ml
8,54,CS1104,Academic Skills for CS,Computer Science,1,1,3,Other,57.7,C,2.0,completed,ai_ml
8,55,CS1201,Programming Paradigms,Computer Science,1,2,4,Programming,85.1,A,4.0,completed,ai_ml
8,56,CS1202,Calculus II,Computer Science,1,2,3,Mathematics,92.0,A+,4.0,completed,ai_ml
8,57,CS1203,Introduction to Databases,Computer Science,1,2,4,Database,42.8,D,1.0,completed,ai_ml
8,58,CS1204,Networking Basics,Computer Science,1,2,3,Networking,55.6,C,2.0,completed,ai_ml
8,59,CS2101,Data Structures,Computer Science,2,1,4,Algorithms & Data Structures,71.8,B,3.0,completed,ai_ml
8,60,CS2102,Probability and Statistics,Computer Science,2,1,3,Statistics,65.3,B-,2.7,completed,ai_ml
8,61,CS2103,Operating Systems Concepts,Computer Science,2,1,3,Systems & Operating Systems,75.5,B+,3.3,completed,ai_ml
8,62,CS2104,Software Engineering I,Computer Science,2,1,3,Software Engineering,60.5,C+,2.3,completed,ai_ml
8,63,CS2201,Algorithm Design,Computer Science,2,2,4,Algorithms & Data Structures,71.1,B,3.0,completed,ai_ml
8,64,CS2202,Advanced Databases,Computer Science,2,2,4,Database,34.0,F,0.0,completed,ai_ml
8,65,CS2203,Data Communications,Computer Science,2,2,3,Networking,49.4,D,1.0,completed,ai_ml
8,66,CS2204,Statistical Computing,Computer Science,2,2,3,Statistics,57.6,C,2.0,completed,ai_ml
8,67,CS3101,Artificial Intelligence Fundamentals,Computer Science,3,1,4,Artificial Intelligence,99.8,A+,4.0,completed,ai_ml
8,68,CS3102,Cyber Security Principles,Computer Science,3,1,3,Cyber Security,62.4,C+,2.3,completed,ai_ml
8,69,CS3103,Software Architecture,Computer Science,3,1,3,Software Engineering,50.9,C-,1.7,completed,ai_ml
8,70,CS3104,Exploratory Data Analysis,Computer Science,3,1,3,Data Analysis,67.5,B-,2.7,completed,ai_ml
8,71,CS3105,Cloud Infrastructure,Computer Science,3,1,3,Cloud Computing,31.3,F,0.0,completed,ai_ml
8,72,CS3201,Deep Learning Concepts,Computer Science,3,2,4,Artificial Intelligence,97.5,A+,4.0,completed,ai_ml
8,73,CS3202,Digital Forensics,Computer Science,3,2,3,Cyber Security,45.6,D,1.0,completed,ai_ml
8,74,CS3203,Data Warehousing,Computer Science,3,2,3,Database,57.8,C,2.0,completed,ai_ml
8,75,CS3204,Predictive Analytics,Computer Science,3,2,3,Data Analysis,61.0,C+,2.3,completed,ai_ml
9,35,SE1101,Programming Fundamentals,Software Engineering,1,1,4,Programming,100.0,A+,4.0,completed,software_engineering
9,36,SE1102,Discrete Mathematics,Software Engineering,1,1,3,Mathematics,53.9,C-,1.7,completed,software_engineering
9,37,SE1103,Digital Logic and Systems,Software Engineering,1,1,3,Systems & Operating Systems,58.6,C,2.0,completed,software_engineering
9,38,SE1104,Engineering Principles,Software Engineering,1,1,3,Other,69.0,B-,2.7,completed,software_engineering
9,39,SE1201,Advanced OOP,Software Engineering,1,2,4,Programming,91.3,A+,4.0,completed,software_engineering
9,40,SE1202,Linear Algebra,Software Engineering,1,2,3,Mathematics,72.2,B,3.0,completed,software_engineering
9,41,SE1203,Database Design,Software Engineering,1,2,4,Database,80.0,A-,3.7,completed,software_engineering
9,42,SE1204,Network Essentials,Software Engineering,1,2,3,Networking,69.0,B-,2.7,completed,software_engineering
9,43,SE2101,Algorithms and Complexity,Software Engineering,2,1,4,Algorithms & Data Structures,91.3,A+,4.0,completed,software_engineering
9,44,SE2102,Statistics for Engineers,Software Engineering,2,1,3,Statistics,69.3,B-,2.7,completed,software_engineering
9,45,SE2103,Systems Programming,Software Engineering,2,1,3,Systems & Operating Systems,75.9,B+,3.3,completed,software_engineering
9,46,SE2104,Software Requirements Engineering,Software Engineering,2,1,3,Software Engineering,79.1,B+,3.3,completed,software_engineering
9,47,SE2201,Software Design Patterns,Software Engineering,2,2,4,Software Engineering,90.5,A+,4.0,completed,software_engineering
9,48,SE2202,Database Administration,Software Engineering,2,2,4,Database,78.6,B+,3.3,completed,software_engineering
9,49,SE2203,Network Architecture,Software Engineering,2,2,3,Networking,59.7,C+,2.3,completed,software_engineering
9,50,SE2204,Applied Statistics,Software Engineering,2,2,3,Statistics,62.1,C+,2.3,completed,software_engineering
10,51,CS1101,Intro to Computer Science,Computer Science,1,1,4,Programming,82.6,A-,3.7,completed,balanced
10,52,CS1102,Calculus I,Computer Science,1,1,3,Mathematics,67.0,B-,2.7,completed,balanced
10,53,CS1103,Computer Organization,Computer Science,1,1,3,Systems & Operating Systems,100.0,A+,4.0,completed,balanced
10,54,CS1104,Academic Skills for CS,Computer Science,1,1,3,Other,93.9,A+,4.0,completed,balanced
10,55,CS1201,Programming Paradigms,Computer Science,1,2,4,Programming,97.4,A+,4.0,completed,balanced
10,56,CS1202,Calculus II,Computer Science,1,2,3,Mathematics,70.8,B,3.0,completed,balanced
10,57,CS1203,Introduction to Databases,Computer Science,1,2,4,Database,76.2,B+,3.3,completed,balanced
10,58,CS1204,Networking Basics,Computer Science,1,2,3,Networking,93.0,A+,4.0,completed,balanced
10,59,CS2101,Data Structures,Computer Science,2,1,4,Algorithms & Data Structures,61.4,C+,2.3,completed,balanced
10,60,CS2102,Probability and Statistics,Computer Science,2,1,3,Statistics,100.0,A+,4.0,completed,balanced
10,61,CS2103,Operating Systems Concepts,Computer Science,2,1,3,Systems & Operating Systems,78.8,B+,3.3,completed,balanced
10,62,CS2104,Software Engineering I,Computer Science,2,1,3,Software Engineering,79.6,A-,3.7,completed,balanced
11,1,IT1101,Introduction to Programming,Information Technology,1,1,4,Programming,45.6,D,1.0,completed,balanced
11,2,IT1102,Mathematics for Computing I,Information Technology,1,1,3,Mathematics,68.9,B-,2.7,completed,balanced
11,3,IT1103,Computer Systems Fundamentals,Information Technology,1,1,3,Systems & Operating Systems,81.4,A-,3.7,completed,balanced
11,4,IT1104,Introduction to IT,Information Technology,1,1,3,Other,57.6,C,2.0,completed,balanced
11,5,IT1201,Object-Oriented Programming,Information Technology,1,2,4,Programming,53.9,C-,1.7,completed,balanced
11,6,IT1202,Mathematics for Computing II,Information Technology,1,2,3,Mathematics,48.2,D,1.0,completed,balanced
11,7,IT1203,Database Fundamentals,Information Technology,1,2,4,Database,63.4,C+,2.3,completed,balanced
11,8,IT1204,Introduction to Networking,Information Technology,1,2,3,Networking,72.7,B,3.0,completed,balanced
11,9,IT2101,Data Structures and Algorithms,Information Technology,2,1,4,Algorithms & Data Structures,95.5,A+,4.0,completed,balanced
11,10,IT2102,Probability and Statistics,Information Technology,2,1,3,Statistics,72.3,B,3.0,completed,balanced
11,11,IT2103,Operating Systems,Information Technology,2,1,3,Systems & Operating Systems,38.4,F,0.0,completed,balanced
11,12,IT2104,Software Engineering Principles,Information Technology,2,1,3,Software Engineering,69.4,B-,2.7,completed,balanced
12,35,SE1101,Programming Fundamentals,Software Engineering,1,1,4,Programming,72.2,B,3.0,completed,cyber_security
12,36,SE1102,Discrete Mathematics,Software Engineering,1,1,3,Mathematics,53.9,C-,1.7,completed,cyber_security
12,37,SE1103,Digital Logic and Systems,Software Engineering,1,1,3,Systems & Operating Systems,91.5,A+,4.0,completed,cyber_security
12,38,SE1104,Engineering Principles,Software Engineering,1,1,3,Other,59.7,C+,2.3,completed,cyber_security
12,39,SE1201,Advanced OOP,Software Engineering,1,2,4,Programming,79.2,B+,3.3,completed,cyber_security
12,40,SE1202,Linear Algebra,Software Engineering,1,2,3,Mathematics,48.7,D,1.0,completed,cyber_security
12,41,SE1203,Database Design,Software Engineering,1,2,4,Database,77.1,B+,3.3,completed,cyber_security
12,42,SE1204,Network Essentials,Software Engineering,1,2,3,Networking,78.3,B+,3.3,completed,cyber_security
12,43,SE2101,Algorithms and Complexity,Software Engineering,2,1,4,Algorithms & Data Structures,46.5,D,1.0,completed,cyber_security
12,44,SE2102,Statistics for Engineers,Software Engineering,2,1,3,Statistics,48.6,D,1.0,completed,cyber_security
12,45,SE2103,Systems Programming,Software Engineering,2,1,3,Systems & Operating Systems,53.1,C-,1.7,completed,cyber_security
12,46,SE2104,Software Requirements Engineering,Software Engineering,2,1,3,Software Engineering,53.4,C-,1.7,completed,cyber_security
12,47,SE2201,Software Design Patterns,Software Engineering,2,2,4,Software Engineering,60.5,C+,2.3,completed,cyber_security
12,48,SE2202,Database Administration,Software Engineering,2,2,4,Database,70.0,B,3.0,completed,cyber_security
12,49,SE2203,Network Architecture,Software Engineering,2,2,3,Networking,62.8,C+,2.3,completed,cyber_security
12,50,SE2204,Applied Statistics,Software Engineering,2,2,3,Statistics,58.8,C,2.0,completed,cyber_security
13,1,IT1101,Introduction to Programming,Information Technology,1,1,4,Programming,63.2,C+,2.3,completed,networking_cloud
13,2,IT1102,Mathematics for Computing I,Information Technology,1,1,3,Mathematics,73.8,B,3.0,completed,networking_cloud
13,3,IT1103,Computer Systems Fundamentals,Information Technology,1,1,3,Systems & Operating Systems,60.1,C+,2.3,completed,networking_cloud
13,4,IT1104,Introduction to IT,Information Technology,1,1,3,Other,59.8,C+,2.3,completed,networking_cloud
13,5,IT1201,Object-Oriented Programming,Information Technology,1,2,4,Programming,62.2,C+,2.3,completed,networking_cloud
13,6,IT1202,Mathematics for Computing II,Information Technology,1,2,3,Mathematics,53.9,C-,1.7,completed,networking_cloud
13,7,IT1203,Database Fundamentals,Information Technology,1,2,4,Database,88.8,A,4.0,completed,networking_cloud
13,8,IT1204,Introduction to Networking,Information Technology,1,2,3,Networking,77.3,B+,3.3,completed,networking_cloud
13,9,IT2101,Data Structures and Algorithms,Information Technology,2,1,4,Algorithms & Data Structures,73.7,B,3.0,completed,networking_cloud
13,10,IT2102,Probability and Statistics,Information Technology,2,1,3,Statistics,60.6,C+,2.3,completed,networking_cloud
13,11,IT2103,Operating Systems,Information Technology,2,1,3,Systems & Operating Systems,77.0,B+,3.3,completed,networking_cloud
13,12,IT2104,Software Engineering Principles,Information Technology,2,1,3,Software Engineering,51.4,C-,1.7,completed,networking_cloud
13,13,IT2201,Advanced Programming,Information Technology,2,2,4,Programming,67.4,B-,2.7,completed,networking_cloud
13,14,IT2202,Database Management Systems,Information Technology,2,2,4,Database,55.9,C,2.0,completed,networking_cloud
13,15,IT2203,Computer Networks,Information Technology,2,2,3,Networking,60.6,C+,2.3,completed,networking_cloud
13,16,IT2204,Statistical Methods,Information Technology,2,2,3,Statistics,75.7,B+,3.3,completed,networking_cloud
13,17,IT2205,Web Technologies,Information Technology,2,2,3,Other,68.8,B-,2.7,completed,networking_cloud
13,18,IT3101,Artificial Intelligence,Information Technology,3,1,4,Artificial Intelligence,41.5,D,1.0,completed,networking_cloud
13,19,IT3102,Information Security,Information Technology,3,1,3,Cyber Security,76.7,B+,3.3,completed,networking_cloud
13,20,IT3103,Software Design and Architecture,Information Technology,3,1,3,Software Engineering,55.3,C,2.0,completed,networking_cloud
13,21,IT3104,Data Analysis and Visualization,Information Technology,3,1,3,Data Analysis,42.5,D,1.0,completed,networking_cloud
13,22,IT3105,Cloud Computing Fundamentals,Information Technology,3,1,3,Cloud Computing,81.8,A-,3.7,completed,networking_cloud
14,35,SE1101,Programming Fundamentals,Software Engineering,1,1,4,Programming,54.0,C-,1.7,completed,struggling
14,36,SE1102,Discrete Mathematics,Software Engineering,1,1,3,Mathematics,31.0,F,0.0,withdrawn,struggling
14,38,SE1104,Engineering Principles,Software Engineering,1,1,3,Other,64.8,B-,2.7,completed,struggling
14,39,SE1201,Advanced OOP,Software Engineering,1,2,4,Programming,53.7,C-,1.7,completed,struggling
14,40,SE1202,Linear Algebra,Software Engineering,1,2,3,Mathematics,42.1,D,1.0,completed,struggling
14,41,SE1203,Database Design,Software Engineering,1,2,4,Database,37.3,F,0.0,completed,struggling
14,43,SE2101,Algorithms and Complexity,Software Engineering,2,1,4,Algorithms & Data Structures,66.2,B-,2.7,completed,struggling
14,44,SE2102,Statistics for Engineers,Software Engineering,2,1,3,Statistics,66.4,B-,2.7,completed,struggling
14,45,SE2103,Systems Programming,Software Engineering,2,1,3,Systems & Operating Systems,47.3,D,1.0,completed,struggling
14,46,SE2104,Software Requirements Engineering,Software Engineering,2,1,3,Software Engineering,34.2,F,0.0,completed,struggling
15,51,CS1101,Intro to Computer Science,Computer Science,1,1,4,Programming,53.1,C-,1.7,completed,networking_cloud
15,52,CS1102,Calculus I,Computer Science,1,1,3,Mathematics,37.1,F,0.0,completed,networking_cloud
15,53,CS1103,Computer Organization,Computer Science,1,1,3,Systems & Operating Systems,73.3,B,3.0,completed,networking_cloud
15,54,CS1104,Academic Skills for CS,Computer Science,1,1,3,Other,48.7,D,1.0,completed,networking_cloud
15,55,CS1201,Programming Paradigms,Computer Science,1,2,4,Programming,76.0,B+,3.3,completed,networking_cloud
15,56,CS1202,Calculus II,Computer Science,1,2,3,Mathematics,51.1,C-,1.7,completed,networking_cloud
15,57,CS1203,Introduction to Databases,Computer Science,1,2,4,Database,66.5,B-,2.7,completed,networking_cloud
15,58,CS1204,Networking Basics,Computer Science,1,2,3,Networking,73.6,B,3.0,completed,networking_cloud
15,59,CS2101,Data Structures,Computer Science,2,1,4,Algorithms & Data Structures,53.3,C-,1.7,completed,networking_cloud
15,60,CS2102,Probability and Statistics,Computer Science,2,1,3,Statistics,63.9,C+,2.3,completed,networking_cloud
15,61,CS2103,Operating Systems Concepts,Computer Science,2,1,3,Systems & Operating Systems,100.0,A+,4.0,completed,networking_cloud
15,62,CS2104,Software Engineering I,Computer Science,2,1,3,Software Engineering,83.1,A-,3.7,completed,networking_cloud
15,63,CS2201,Algorithm Design,Computer Science,2,2,4,Algorithms & Data Structures,60.9,C+,2.3,completed,networking_cloud
15,64,CS2202,Advanced Databases,Computer Science,2,2,4,Database,51.9,C-,1.7,completed,networking_cloud
15,65,CS2203,Data Communications,Computer Science,2,2,3,Networking,81.7,A-,3.7,completed,networking_cloud
15,66,CS2204,Statistical Computing,Computer Science,2,2,3,Statistics,85.9,A,4.0,completed,networking_cloud
15,67,CS3101,Artificial Intelligence Fundamentals,Computer Science,3,1,4,Artificial Intelligence,46.4,D,1.0,completed,networking_cloud
15,68,CS3102,Cyber Security Principles,Computer Science,3,1,3,Cyber Security,81.1,A-,3.7,completed,networking_cloud
15,69,CS3103,Software Architecture,Computer Science,3,1,3,Software Engineering,66.8,B-,2.7,completed,networking_cloud
15,70,CS3104,Exploratory Data Analysis,Computer Science,3,1,3,Data Analysis,59.8,C+,2.3,completed,networking_cloud
15,71,CS3105,Cloud Infrastructure,Computer Science,3,1,3,Cloud Computing,65.3,B-,2.7,completed,networking_cloud
16,35,SE1101,Programming Fundamentals,Software Engineering,1,1,4,Programming,83.0,A-,3.7,completed,database_engineering
16,36,SE1102,Discrete Mathematics,Software Engineering,1,1,3,Mathematics,86.0,A,4.0,completed,database_engineering
16,37,SE1103,Digital Logic and Systems,Software Engineering,1,1,3,Systems & Operating Systems,57.7,C,2.0,completed,database_engineering
